aggregation_number,hydrodynamic_radius_avg,hydrodynamic_radius_std,n_aggregates
2,6.3702778816223145,0.28782790899276733,168
1,5.294374648695008,0.2933202095860112,1094
9,9.58972454071045,0.17229288816452026,52
3,7.055842399597168,0.19897395372390747,119
5,8.076102256774902,0.1337590515613556,82
4,7.700167179107666,0.26340538263320923,84
6,8.504650115966797,0.16934415698051453,132
10,9.811956405639648,0.09431273490190506,50
8,9.307538032531738,0.32185545563697815,14
19,11.708574295043945,0.12404775619506836,2
18,11.86935806274414,0.3746514618396759,19
7,8.850359916687012,0.07280151546001434,114
26,13.346516609191895,0.07663228362798691,57
12,10.34994125366211,0.06609742343425751,114
11,10.114885330200195,0.13325586915016174,98
33,14.626826286315918,0.06206250935792923,3
13,10.633312225341797,0.04513546824455261,10
34,14.735818862915039,0.1435047835111618,4
37,15.166309356689453,0.09493467211723328,15
38,15.31682300567627,0.013335227966308594,2
14,10.948613166809082,0.16731765866279602,3
22,12.59185791015625,0.142807275056839,28
21,12.458747863769531,0.09685182571411133,2
39,15.487833023071289,0.0756368637084961,2
16,11.411630630493164,0.5021653175354004,32
46,16.464035034179688,0.07891973853111267,20
45,16.414669036865234,0.14539389312267303,21
15,11.178694725036621,0.14234547317028046,29
25,13.175203323364258,0.1442466676235199,54
44,16.405134201049805,0.0,1
17,11.616647720336914,0.14445222914218903,17
24,13.074197769165039,0.0,1
27,13.692414283752441,0.0,1
72,19.588754653930664,0.21063636243343353,54
71,19.491674423217773,0.20231597125530243,53
70,19.378150939941406,0.0,1
30,14.02984619140625,0.08838760107755661,19
29,13.890859603881836,0.14514461159706116,17
23,12.801185607910156,0.10199427604675293,27
28,14.194554328918457,0.0,1
36,15.005867004394531,0.1023949533700943,42
35,14.851099014282227,0.13549691438674927,28
109,23.11268424987793,0.19089071452617645,26
108,22.992612838745117,0.182808056473732,25
59,18.08498191833496,0.10608069598674774,27
58,17.95779037475586,0.1416177749633789,26
107,22.740543365478516,0.0,1
168,28.15863800048828,0.7769086360931396,4
167,27.573867797851562,0.5907790064811707,3
180,25.548799514770508,0.4876806437969208,203
178,28.29765510559082,0.0,1
179,25.50127601623535,0.4621642231941223,209
