aggregate_id,aggregation_number,delta_t,sd,n_samples
9,2,300.0,229.9959813189767,1
10,2,300.0,12.91694043804208,1
11,5,300.0,46.42762231449825,1
12,1,300.0,222.3288511045319,1
13,3,300.0,26.959115632124153,1
14,1,300.0,67.86249512967309,1
21,2,300.0,36.65736721424227,2
21,2,600.0,74.60268051254337,1
22,2,300.0,112.35625871800733,2
22,2,600.0,249.45042413050942,1
28,2,300.0,116.88329426249243,3
28,2,600.0,309.4887271874844,2
28,2,900.0,398.1721711087423,1
29,2,300.0,117.42346907649203,2
29,2,600.0,123.00190424561214,1
30,1,300.0,191.11608023193855,1
31,1,300.0,328.19837950372096,1
32,2,300.0,11.306589573653541,1
33,3,300.0,159.4893342845718,1
34,1,300.0,214.34036068854664,4
34,1,600.0,414.844002917388,3
34,1,900.0,205.29925862085997,2
34,1,1200.0,335.1042646701396,1
35,6,300.0,44.899214144551934,4
35,6,600.0,41.358254425938284,3
35,6,900.0,70.63132783255301,2
35,6,1200.0,54.69836888941318,1
36,1,300.0,226.13537493603314,4
36,1,600.0,464.05327976687636,3
36,1,900.0,768.5298321657044,2
36,1,1200.0,2040.0251093188022,1
37,9,300.0,47.40303945010393,4
37,9,600.0,69.19612267565954,3
37,9,900.0,53.77108858568022,2
37,9,1200.0,127.55053674288148,1
38,4,300.0,132.06459975429945,4
38,4,600.0,254.70600885150182,3
38,4,900.0,427.1812124228327,2
38,4,1200.0,547.9028719288426,1
45,5,300.0,80.83578349143218,5
45,5,600.0,134.21786907787066,4
45,5,900.0,176.98455889498112,3
45,5,1200.0,257.7441507023947,2
45,5,1500.0,424.2262109926134,1
46,10,300.0,68.7462509833484,4
46,10,600.0,133.40779596894345,3
46,10,900.0,249.20386400250152,2
46,10,1200.0,265.9116685379311,1
47,2,300.0,148.19302360513933,1
51,1,300.0,220.17342877466658,6
51,1,600.0,314.6708414215462,5
51,1,900.0,574.3384505066786,4
51,1,1200.0,892.0621187983917,3
51,1,1500.0,1287.2446607389152,2
51,1,1800.0,1458.7455100224865,1
52,5,300.0,79.4389315733499,6
52,5,600.0,219.12909599818508,5
52,5,900.0,328.50538866197195,4
52,5,1200.0,474.1787210326232,3
52,5,1500.0,591.0468490319346,2
52,5,1800.0,569.5392227299104,1
53,1,300.0,190.94280736791688,6
53,1,600.0,384.10067694626224,5
53,1,900.0,425.30048962572124,4
53,1,1200.0,322.7830349289399,3
53,1,1500.0,498.8378751752472,2
53,1,1800.0,1081.7145724632664,1
54,4,300.0,45.658568695801925,6
54,4,600.0,91.2301553883934,5
54,4,900.0,164.6445125260951,4
54,4,1200.0,237.06390134388946,3
54,4,1500.0,326.58689890724264,2
54,4,1800.0,270.9242569140477,1
55,9,300.0,35.79688981469169,6
55,9,600.0,50.61637160732157,5
55,9,900.0,66.85780622632863,4
55,9,1200.0,76.22954933191608,3
55,9,1500.0,99.17502298753409,2
55,9,1800.0,63.6554026312096,1
56,1,300.0,198.5247020731049,3
56,1,600.0,358.1204733270077,2
56,1,900.0,323.229881210442,1
57,1,300.0,99.25341442063097,3
57,1,600.0,320.36939660783025,2
57,1,900.0,395.2730826507485,1
64,3,300.0,81.0503404373897,4
64,3,600.0,154.62474617111502,3
64,3,900.0,308.79277420737196,2
64,3,1200.0,446.87742765768985,1
65,1,300.0,196.13293584944086,3
65,1,600.0,313.6559953780386,2
65,1,900.0,68.9936804164957,1
66,2,300.0,78.67897954990474,2
66,2,600.0,95.34924107903619,1
67,3,300.0,192.75037693828128,2
67,3,600.0,188.58674297849208,1
70,2,300.0,91.22910225887567,8
70,2,600.0,136.7463379940328,7
70,2,900.0,143.59263808841348,6
70,2,1200.0,202.2607396440077,5
70,2,1500.0,215.9025404303414,4
70,2,1800.0,193.14593030105388,3
70,2,2100.0,144.034248433109,2
70,2,2400.0,254.95814660916378,1
71,1,300.0,185.77424697902353,5
71,1,600.0,395.32855024224006,4
71,1,900.0,740.4428574671983,3
71,1,1200.0,1176.0969316301585,2
71,1,1500.0,1780.321443197923,1
72,19,300.0,34.339908208947335,2
72,19,600.0,136.90764184664891,1
73,2,300.0,83.6169553723814,1
76,2,300.0,119.77816332285937,9
76,2,600.0,330.8311291006929,8
76,2,900.0,554.7376287183978,7
76,2,1200.0,718.5089618523972,6
76,2,1500.0,867.4882275992925,5
76,2,1800.0,906.1253837650464,4
76,2,2100.0,723.5546075506187,3
76,2,2400.0,491.3774942465808,2
77,8,300.0,81.86583977916307,9
77,8,600.0,164.7957326229787,8
77,8,900.0,254.06018916016507,7
77,8,1200.0,279.8974030604286,6
77,8,1500.0,313.79735966917633,5
77,8,1800.0,349.00692366328354,4
77,8,2100.0,247.5579745567261,3
77,8,2400.0,236.25457933588467,2
78,4,300.0,55.50852534813362,9
78,4,600.0,107.14722352609934,8
78,4,900.0,119.38376379352523,7
78,4,1200.0,149.3513368705434,6
78,4,1500.0,140.51743168660747,5
78,4,1800.0,107.06059751690825,4
78,4,2100.0,94.72809536263641,3
78,4,2400.0,79.31534113378295,2
79,5,300.0,89.93927329956182,6
79,5,600.0,187.86482758252856,5
79,5,900.0,257.2291341952319,4
79,5,1200.0,318.2485596807994,3
79,5,1500.0,315.80535468070696,2
79,5,1800.0,406.5175664728834,1
80,1,300.0,201.3326809372851,1
81,1,300.0,106.87919264933072,1
86,7,300.0,44.85374681465129,10
86,7,600.0,108.33402294598353,9
86,7,900.0,143.92921179782593,8
86,7,1200.0,187.82573424455381,7
86,7,1500.0,219.8300159143856,6
86,7,1800.0,235.7868484882726,5
86,7,2100.0,272.8901146689208,4
86,7,2400.0,305.1937629949191,3
87,2,300.0,43.98800631704135,3
87,2,600.0,43.66572802653074,2
87,2,900.0,66.52671103342759,1
93,1,300.0,161.07268765624255,11
93,1,600.0,165.40672980625783,10
93,1,900.0,287.9558851432575,9
93,1,1200.0,313.4984958539868,8
93,1,1500.0,434.4144058109002,7
93,1,1800.0,546.6971957052439,6
93,1,2100.0,608.0004904866391,5
93,1,2400.0,658.2443548559522,4
94,1,300.0,186.28325602720903,11
94,1,600.0,314.17493029253404,10
94,1,900.0,581.2496288942924,9
94,1,1200.0,732.3083035840025,8
94,1,1500.0,808.6529042038931,7
94,1,1800.0,829.4645998261003,6
94,1,2100.0,809.3476461088434,5
94,1,2400.0,830.6113043878853,4
95,2,300.0,141.16521169230873,11
95,2,600.0,281.90849435630423,10
95,2,900.0,382.1378047980768,9
95,2,1200.0,442.060135278672,8
95,2,1500.0,463.70069042661925,7
95,2,1800.0,689.9233233266167,6
95,2,2100.0,847.8337820957462,5
95,2,2400.0,1007.0062410084298,4
96,10,300.0,67.32913525539367,4
96,10,600.0,61.66243254145056,3
96,10,900.0,39.48182740410564,2
96,10,1200.0,137.9914600875257,1
97,2,300.0,55.926904714197136,1
98,2,300.0,19.32556531999017,1
103,6,300.0,42.74873279338535,12
103,6,600.0,75.85438165863034,11
103,6,900.0,92.08416957626551,10
103,6,1200.0,140.00805659427698,9
103,6,1500.0,184.50191118125656,8
103,6,1800.0,222.1517753067282,7
103,6,2100.0,314.710948769149,6
103,6,2400.0,427.56009268235573,5
104,7,300.0,50.17451436187972,7
104,7,600.0,85.92264059602986,6
104,7,900.0,58.1774515778485,5
104,7,1200.0,103.45277306811369,4
104,7,1500.0,150.91383110113875,3
104,7,1800.0,139.39879096876,2
104,7,2100.0,132.62130837519553,1
105,3,300.0,54.99367705101114,3
105,3,600.0,68.55391407753123,2
105,3,900.0,36.28523198452587,1
115,1,300.0,146.24708668739655,13
115,1,600.0,341.93152727179086,12
115,1,900.0,547.3208284241568,11
115,1,1200.0,760.2550880623832,10
115,1,1500.0,957.186497933651,9
115,1,1800.0,1240.7309950786826,8
115,1,2100.0,1632.7527524926122,7
115,1,2400.0,1973.5926760549753,6
116,1,300.0,250.18534985170305,13
116,1,600.0,500.4931918521315,12
116,1,900.0,734.741629731121,11
116,1,1200.0,1041.2139713038227,10
116,1,1500.0,1287.4980985627853,9
116,1,1800.0,1395.9528941263538,8
116,1,2100.0,1288.6061637999787,7
116,1,2400.0,1323.487458998598,6
117,2,300.0,110.99329022547163,6
117,2,600.0,151.50747752214397,5
117,2,900.0,194.9941062794651,4
117,2,1200.0,314.00754792133284,3
117,2,1500.0,429.5554271463911,2
117,2,1800.0,785.485322991529,1
118,2,300.0,142.1280396542124,1
127,1,300.0,129.50490090690136,10
127,1,600.0,253.00741911198554,9
127,1,900.0,305.48254340414394,8
127,1,1200.0,308.3732789185641,7
127,1,1500.0,468.1623044185855,6
127,1,1800.0,526.898972557978,5
127,1,2100.0,554.2274806166572,4
127,1,2400.0,605.400100942127,3
128,5,300.0,40.09226158590395,7
128,5,600.0,54.71222415335934,6
128,5,900.0,60.82246116808852,5
128,5,1200.0,92.67065934245574,4
128,5,1500.0,146.01337191081265,3
128,5,1800.0,178.32189004537148,2
128,5,2100.0,142.2602572309086,1
129,4,300.0,80.36597874366419,2
129,4,600.0,204.91421938515003,1
133,3,300.0,97.15427123839362,6
133,3,600.0,196.27412321536593,5
133,3,900.0,375.85630085692617,4
133,3,1200.0,522.8198820396333,3
133,3,1500.0,600.0539349873677,2
133,3,1800.0,745.2854850780357,1
134,7,300.0,54.0411499188207,5
134,7,600.0,173.9084602994331,4
134,7,900.0,345.98068991604765,3
134,7,1200.0,506.30330430525186,2
134,7,1500.0,494.21860935807024,1
135,26,300.0,19.17687338754134,4
135,26,600.0,49.197516383746326,3
135,26,900.0,82.09804116775281,2
135,26,1200.0,92.96916039936056,1
136,2,300.0,203.11635294232974,2
136,2,600.0,235.42783488248426,1
137,7,300.0,36.60863865734515,1
138,1,300.0,217.64997760606434,1
139,1,300.0,110.26619651115566,1
147,4,300.0,95.82503757592738,17
147,4,600.0,150.46950937782418,16
147,4,900.0,159.2410761457434,15
147,4,1200.0,189.03159907277583,14
147,4,1500.0,239.96365087669463,13
147,4,1800.0,246.93359520274637,12
147,4,2100.0,359.49728660564324,11
147,4,2400.0,366.8503372902134,10
148,2,300.0,117.63639594691907,17
148,2,600.0,224.04234611053192,16
148,2,900.0,358.2343383576237,15
148,2,1200.0,494.0424170592734,14
148,2,1500.0,698.5911235520562,13
148,2,1800.0,858.6669353616772,12
148,2,2100.0,1047.3814682215136,11
148,2,2400.0,1269.0951773440133,10
149,3,300.0,106.75171344199435,15
149,3,600.0,161.82717558207858,14
149,3,900.0,247.08511543439775,13
149,3,1200.0,364.0540018216646,12
149,3,1500.0,437.16179607554255,11
149,3,1800.0,587.8144349773055,10
149,3,2100.0,672.5563216908325,9
149,3,2400.0,943.1649108078518,8
150,2,300.0,89.97779388305766,3
150,2,600.0,152.73861550494746,2
150,2,900.0,66.7362067856788,1
151,2,300.0,26.94712551862994,2
151,2,600.0,48.9832943668405,1
152,6,300.0,57.44387601114334,18
152,6,600.0,104.87569082316087,17
152,6,900.0,143.17963778657216,16
152,6,1200.0,187.91672122665966,15
152,6,1500.0,223.94403690085662,14
152,6,1800.0,277.3673022241035,13
152,6,2100.0,323.9388721056726,12
152,6,2400.0,342.42677320413276,11
153,1,300.0,199.64068135725077,16
153,1,600.0,302.76643696213364,15
153,1,900.0,412.94322904676073,14
153,1,1200.0,539.6109135729573,13
153,1,1500.0,539.1187090609727,12
153,1,1800.0,591.6735556288294,11
153,1,2100.0,632.6885740670851,10
153,1,2400.0,657.0175043694185,9
154,4,300.0,63.48661421890731,10
154,4,600.0,115.64846670328951,9
154,4,900.0,138.11991688103564,8
154,4,1200.0,144.68547813013797,7
154,4,1500.0,134.8734373910721,6
154,4,1800.0,127.29243872035283,5
154,4,2100.0,105.90388784546462,4
154,4,2400.0,120.46246791746728,3
155,2,300.0,138.9294760578187,5
155,2,600.0,216.1140895713737,4
155,2,900.0,359.8051758587994,3
155,2,1200.0,464.4051774334701,2
155,2,1500.0,414.24736601062267,1
156,9,300.0,47.846850085381824,2
156,9,600.0,49.90899214464918,1
163,10,300.0,39.173619906700516,6
163,10,600.0,48.9894716180879,5
163,10,900.0,99.72257991452805,4
163,10,1200.0,125.38078296238571,3
163,10,1500.0,135.9820023490344,2
163,10,1800.0,139.93715653072064,1
164,2,300.0,135.57171750631673,6
164,2,600.0,249.1734911488902,5
164,2,900.0,425.87523838367565,4
164,2,1200.0,578.4497348083349,3
164,2,1500.0,511.2214068947353,2
164,2,1800.0,747.5627868897575,1
172,4,300.0,60.462781877947826,20
172,4,600.0,127.1397609769564,19
172,4,900.0,226.4354959352771,18
172,4,1200.0,326.6200118453627,17
172,4,1500.0,447.04638015549926,16
172,4,1800.0,593.7176029653167,15
172,4,2100.0,760.6658933814787,14
172,4,2400.0,940.2254604826895,13
173,2,300.0,178.19736065302533,4
173,2,600.0,436.6213063016482,3
173,2,900.0,987.2530037368904,2
173,2,1200.0,1387.1500901433615,1
174,3,300.0,84.95209221419047,3
174,3,600.0,202.7509018789746,2
174,3,900.0,415.21025042128065,1
177,4,300.0,71.1839208296902,21
177,4,600.0,118.6336460863439,20
177,4,900.0,174.0155751063963,19
177,4,1200.0,232.7218517943285,18
177,4,1500.0,331.2799053362016,17
177,4,1800.0,431.1129313114699,16
177,4,2100.0,519.5579552400599,15
177,4,2400.0,619.8794028420609,14
178,4,300.0,56.21914190348872,5
178,4,600.0,117.30237868494171,4
178,4,900.0,111.31417640993432,3
178,4,1200.0,69.8327778427485,2
178,4,1500.0,81.75933987685944,1
185,5,300.0,73.20693415738671,22
185,5,600.0,124.01961027918854,21
185,5,900.0,158.70195507806548,20
185,5,1200.0,218.58031953781085,19
185,5,1500.0,249.78759854857213,18
185,5,1800.0,255.35325045771145,17
185,5,2100.0,292.029854689053,16
185,5,2400.0,342.3182464216883,15
186,12,300.0,48.98924523602013,2
186,12,600.0,135.4222856931385,1
192,6,300.0,66.86605292357923,23
192,6,600.0,143.5220981408093,22
192,6,900.0,193.46508303249317,21
192,6,1200.0,241.51540809885205,20
192,6,1500.0,286.22058185321794,19
192,6,1800.0,333.25197949420584,18
192,6,2100.0,384.7829026120309,17
192,6,2400.0,421.89913570916303,16
193,6,300.0,60.04382851381066,9
193,6,600.0,127.87332374469898,8
193,6,900.0,161.37664155418923,7
193,6,1200.0,208.06605729752303,6
193,6,1500.0,196.01534272867667,5
193,6,1800.0,288.3347702320613,4
193,6,2100.0,407.5998686197752,3
193,6,2400.0,494.8028883849852,2
194,2,300.0,134.3231338646648,3
194,2,600.0,247.43707293291135,2
194,2,900.0,368.81040155139567,1
200,1,300.0,145.62393768546113,24
200,1,600.0,246.91336070102088,23
200,1,900.0,336.8348562914332,22
200,1,1200.0,457.9465588726572,21
200,1,1500.0,554.7338633725332,20
200,1,1800.0,711.4749805628521,19
200,1,2100.0,882.2007426298393,18
200,1,2400.0,1120.8802272218425,17
201,2,300.0,185.30843709563533,8
201,2,600.0,371.333392662823,7
201,2,900.0,540.3798319699046,6
201,2,1200.0,572.5190772244914,5
201,2,1500.0,803.1182477386706,4
201,2,1800.0,1057.888175616802,3
201,2,2100.0,1591.8765945205423,2
201,2,2400.0,1881.9115857427214,1
202,2,300.0,76.67622937446676,3
202,2,600.0,104.93287411939328,2
202,2,900.0,42.44123017416659,1
203,1,300.0,140.37014338423302,1
204,1,300.0,93.21257759797578,1
218,3,300.0,96.99868493241061,25
218,3,600.0,200.4817193534427,24
218,3,900.0,285.303568104025,23
218,3,1200.0,440.9155621921116,22
218,3,1500.0,615.75438948367,21
218,3,1800.0,777.268212853461,20
218,3,2100.0,967.4788693992814,19
218,3,2400.0,1123.4757093163307,18
219,5,300.0,82.54381574131459,18
219,5,600.0,193.7929997786203,17
219,5,900.0,275.40018118708247,16
219,5,1200.0,337.38458698210553,15
219,5,1500.0,424.13157129027405,14
219,5,1800.0,576.9019428663003,13
219,5,2100.0,772.2533450877967,12
219,5,2400.0,917.3921218643774,11
220,3,300.0,117.59487698670128,4
220,3,600.0,236.90757466319573,3
220,3,900.0,254.4240274696897,2
220,3,1200.0,267.13933082119166,1
221,12,300.0,42.39448538486525,2
221,12,600.0,67.16915519000048,1
224,3,300.0,146.5740901409859,13
224,3,600.0,200.39085704485728,12
224,3,900.0,319.1703561620077,11
224,3,1200.0,383.4846263068788,10
224,3,1500.0,409.7863346811213,9
224,3,1800.0,481.8979088237268,8
224,3,2100.0,602.6010923439518,7
224,3,2400.0,682.3424017634769,6
225,3,300.0,102.6712073161279,8
225,3,600.0,191.60196331971716,7
225,3,900.0,186.7119906092876,6
225,3,1200.0,133.90520690505284,5
225,3,1500.0,88.13039178562782,4
225,3,1800.0,79.99223523002888,3
225,3,2100.0,128.91104555557897,2
225,3,2400.0,163.86580138281334,1
234,6,300.0,52.03148778439402,28
234,6,600.0,98.71305229487771,27
234,6,900.0,162.87406596521598,26
234,6,1200.0,211.7890923795339,25
234,6,1500.0,267.7005873088794,24
234,6,1800.0,321.05385336074295,23
234,6,2100.0,367.2656232071406,22
234,6,2400.0,404.6165524422725,21
235,5,300.0,49.19326841100388,28
235,5,600.0,83.7928492929546,27
235,5,900.0,115.187681259846,26
235,5,1200.0,141.1879070017089,25
235,5,1500.0,176.78865212292212,24
235,5,1800.0,188.9633150241289,23
235,5,2100.0,205.89083526212505,22
235,5,2400.0,204.2977103591047,21
236,4,300.0,51.54040959292879,5
236,4,600.0,107.176095762243,4
236,4,900.0,242.75859309295456,3
236,4,1200.0,351.7150114697533,2
236,4,1500.0,505.68652878246183,1
237,2,300.0,40.2799366410164,3
